Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,LRP,EEGNet,0.8145334124565125
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,MMN,EEGNet,0.570928692817688
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N170,EEGNet,0.7282180786132812
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N2pc,EEGNet,0.6660468578338623
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N400,EEGNet,0.6635866761207581
None,None,20 Hz,0.1 Hz,P9P10,None,None,Int. or reject,P3,EEGNet,0.6722529530525208
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,ERN,EEGNet,0.8724110126495361
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,LRP,EEGNet,0.8242768049240112
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,MMN,EEGNet,0.5787515044212341
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,N170,EEGNet,0.762499988079071
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,N2pc,EEGNet,0.6677423715591431
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,N400,EEGNet,0.668541669845581
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,False,P3,EEGNet,0.6947656273841858
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,ERN,EEGNet,0.8581704497337341
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,LRP,EEGNet,0.8107672929763794
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,MMN,EEGNet,0.5726108551025391
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N170,EEGNet,0.7604687213897705
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N2pc,EEGNet,0.6610357761383057
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N400,EEGNet,0.6581249833106995
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,P3,EEGNet,0.6834375262260437
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,ERN,EEGNet,0.8568978309631348
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,LRP,EEGNet,0.8182002902030945
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,MMN,EEGNet,0.5734855532646179
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N170,EEGNet,0.7519997954368591
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N2pc,EEGNet,0.6698797345161438
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N400,EEGNet,0.6555105447769165
None,None,20 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,P3,EEGNet,0.6803969740867615
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,ERN,EEGNet,0.8747457265853882
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,LRP,EEGNet,0.8233147263526917
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,MMN,EEGNet,0.579033374786377
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,N170,EEGNet,0.7635937333106995
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,N2pc,EEGNet,0.6670392751693726
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,N400,EEGNet,0.6700000166893005
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,False,P3,EEGNet,0.6960155963897705
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,ERN,EEGNet,0.8588597774505615
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,LRP,EEGNet,0.8145360946655273
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,MMN,EEGNet,0.5750170946121216
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N170,EEGNet,0.7614062428474426
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N2pc,EEGNet,0.6695294976234436
None,None,20 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N400,EEGNet,0.6575000286102295
